task=human_or_worm model=ph folds=5 epochs=30 head_batch=512 feat_batch=128 lr=0.001 device=mps smoke=False
paper Table 1 (full fine-tune): 0.973 ± 0.001
  (we are running a frozen-backbone linear probe — expect lower numbers)
loaded 100,000 sequences, seq_len=200
pretokenized in 4.1s, ids shape=(100000, 201)
loading kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3...
[human_or_worm PH fold 2/5] epoch 21/30  train_loss=0.5294  val_loss=0.5304  val_acc=0.7710  (0.2s)
[human_or_worm PH fold 2/5] epoch 22/30  train_loss=0.5276  val_loss=0.5287  val_acc=0.7726  (0.2s)
[human_or_worm PH fold 2/5] epoch 23/30  train_loss=0.5260  val_loss=0.5273  val_acc=0.7739  (0.2s)
[human_or_worm PH fold 2/5] epoch 24/30  train_loss=0.5247  val_loss=0.5261  val_acc=0.7754  (0.2s)
[human_or_worm PH fold 2/5] epoch 25/30  train_loss=0.5236  val_loss=0.5250  val_acc=0.7760  (0.2s)
[human_or_worm PH fold 2/5] epoch 26/30  train_loss=0.5226  val_loss=0.5242  val_acc=0.7760  (0.2s)
[human_or_worm PH fold 2/5] epoch 27/30  train_loss=0.5218  val_loss=0.5233  val_acc=0.7780  (0.2s)
[human_or_worm PH fold 2/5] epoch 28/30  train_loss=0.5210  val_loss=0.5226  val_acc=0.7776  (0.2s)
[human_or_worm PH fold 2/5] epoch 29/30  train_loss=0.5204  val_loss=0.5220  val_acc=0.7792  (0.2s)
[human_or_worm PH fold 2/5] epoch 30/30  train_loss=0.5197  val_loss=0.5214  val_acc=0.7799  (0.2s)
[human_or_worm PH fold 3/5] epoch 1/30  train_loss=0.6804  val_loss=0.6638  val_acc=0.6276  (0.2s)
[human_or_worm PH fold 3/5] epoch 2/30  train_loss=0.6536  val_loss=0.6449  val_acc=0.6402  (0.2s)
[human_or_worm PH fold 3/5] epoch 3/30  train_loss=0.6381  val_loss=0.6320  val_acc=0.6526  (0.2s)
[human_or_worm PH fold 3/5] epoch 4/30  train_loss=0.6264  val_loss=0.6213  val_acc=0.6636  (0.2s)
[human_or_worm PH fold 3/5] epoch 5/30  train_loss=0.6162  val_loss=0.6116  val_acc=0.6754  (0.2s)
[human_or_worm PH fold 3/5] epoch 6/30  train_loss=0.6068  val_loss=0.6029  val_acc=0.6850  (0.2s)
[human_or_worm PH fold 3/5] epoch 7/30  train_loss=0.5981  val_loss=0.5943  val_acc=0.6957  (0.2s)
[human_or_worm PH fold 3/5] epoch 8/30  train_loss=0.5900  val_loss=0.5868  val_acc=0.7036  (0.2s)
[human_or_worm PH fold 3/5] epoch 9/30  train_loss=0.5827  val_loss=0.5796  val_acc=0.7125  (0.2s)
[human_or_worm PH fold 3/5] epoch 10/30  train_loss=0.5758  val_loss=0.5732  val_acc=0.7194  (0.2s)
[human_or_worm PH fold 3/5] epoch 11/30  train_loss=0.5697  val_loss=0.5672  val_acc=0.7260  (0.2s)
[human_or_worm PH fold 3/5] epoch 12/30  train_loss=0.5640  val_loss=0.5619  val_acc=0.7340  (0.2s)
[human_or_worm PH fold 3/5] epoch 13/30  train_loss=0.5588  val_loss=0.5570  val_acc=0.7386  (0.2s)
[human_or_worm PH fold 3/5] epoch 14/30  train_loss=0.5541  val_loss=0.5524  val_acc=0.7449  (0.2s)
[human_or_worm PH fold 3/5] epoch 15/30  train_loss=0.5499  val_loss=0.5486  val_acc=0.7489  (0.2s)
[human_or_worm PH fold 3/5] epoch 16/30  train_loss=0.5460  val_loss=0.5449  val_acc=0.7534  (0.2s)
[human_or_worm PH fold 3/5] epoch 17/30  train_loss=0.5427  val_loss=0.5417  val_acc=0.7563  (0.2s)
[human_or_worm PH fold 3/5] epoch 18/30  train_loss=0.5396  val_loss=0.5389  val_acc=0.7613  (0.2s)
[human_or_worm PH fold 3/5] epoch 19/30  train_loss=0.5369  val_loss=0.5363  val_acc=0.7637  (0.2s)
[human_or_worm PH fold 3/5] epoch 20/30  train_loss=0.5345  val_loss=0.5341  val_acc=0.7655  (0.2s)
[human_or_worm PH fold 3/5] epoch 21/30  train_loss=0.5324  val_loss=0.5322  val_acc=0.7681  (0.2s)
[human_or_worm PH fold 3/5] epoch 22/30  train_loss=0.5306  val_loss=0.5305  val_acc=0.7703  (0.2s)
[human_or_worm PH fold 3/5] epoch 23/30  train_loss=0.5291  val_loss=0.5290  val_acc=0.7718  (0.2s)
[human_or_worm PH fold 3/5] epoch 24/30  train_loss=0.5277  val_loss=0.5278  val_acc=0.7733  (0.2s)
[human_or_worm PH fold 3/5] epoch 25/30  train_loss=0.5265  val_loss=0.5267  val_acc=0.7743  (0.2s)
[human_or_worm PH fold 3/5] epoch 26/30  train_loss=0.5255  val_loss=0.5258  val_acc=0.7750  (0.2s)
[human_or_worm PH fold 3/5] epoch 27/30  train_loss=0.5246  val_loss=0.5250  val_acc=0.7765  (0.2s)
[human_or_worm PH fold 3/5] epoch 28/30  train_loss=0.5239  val_loss=0.5242  val_acc=0.7770  (0.2s)
[human_or_worm PH fold 3/5] epoch 29/30  train_loss=0.5232  val_loss=0.5236  val_acc=0.7774  (0.2s)
[human_or_worm PH fold 3/5] epoch 30/30  train_loss=0.5226  val_loss=0.5230  val_acc=0.7782  (0.2s)
[human_or_worm PH fold 4/5] epoch 1/30  train_loss=0.6989  val_loss=0.6651  val_acc=0.6263  (0.2s)
[human_or_worm PH fold 4/5] epoch 2/30  train_loss=0.6579  val_loss=0.6501  val_acc=0.6303  (0.2s)
[human_or_worm PH fold 4/5] epoch 3/30  train_loss=0.6453  val_loss=0.6391  val_acc=0.6390  (0.2s)
[human_or_worm PH fold 4/5] epoch 4/30  train_loss=0.6356  val_loss=0.6301  val_acc=0.6495  (0.2s)
[human_or_worm PH fold 4/5] epoch 5/30  train_loss=0.6270  val_loss=0.6218  val_acc=0.6607  (0.2s)
[human_or_worm PH fold 4/5] epoch 6/30  train_loss=0.6189  val_loss=0.6138  val_acc=0.6724  (0.2s)
[human_or_worm PH fold 4/5] epoch 7/30  train_loss=0.6111  val_loss=0.6061  val_acc=0.6814  (0.2s)
[human_or_worm PH fold 4/5] epoch 8/30  train_loss=0.6035  val_loss=0.5990  val_acc=0.6872  (0.2s)
[human_or_worm PH fold 4/5] epoch 9/30  train_loss=0.5965  val_loss=0.5919  val_acc=0.6985  (0.2s)
[human_or_worm PH fold 4/5] epoch 10/30  train_loss=0.5898  val_loss=0.5855  val_acc=0.7053  (0.2s)
[human_or_worm PH fold 4/5] epoch 11/30  train_loss=0.5836  val_loss=0.5795  val_acc=0.7135  (0.2s)
[human_or_worm PH fold 4/5] epoch 12/30  train_loss=0.5779  val_loss=0.5740  val_acc=0.7208  (0.2s)
[human_or_worm PH fold 4/5] epoch 13/30  train_loss=0.5726  val_loss=0.5690  val_acc=0.7268  (0.2s)
[human_or_worm PH fold 4/5] epoch 14/30  train_loss=0.5677  val_loss=0.5642  val_acc=0.7336  (0.2s)
[human_or_worm PH fold 4/5] epoch 15/30  train_loss=0.5633  val_loss=0.5602  val_acc=0.7376  (0.2s)
